party,region,voting_system,value
Bloc,SK,MMP,0.0
Conservative,SK,MMP,0.5
Green,SK,MMP,0.0
Liberal,SK,MMP,0.21428571428571427
NDP,SK,MMP,0.2857142857142857
Bloc,MB,MMP,0.0
Conservative,MB,MMP,0.42857142857142855
Green,MB,MMP,0.0
Liberal,MB,MMP,0.42857142857142855
NDP,MB,MMP,0.14285714285714285
Bloc,ON,MMP,0.0
Conservative,ON,MMP,0.33884297520661155
Green,ON,MMP,0.008264462809917356
Liberal,ON,MMP,0.47107438016528924
NDP,ON,MMP,0.18181818181818182
Bloc,QC,MMP,0.19230769230769232
Conservative,QC,MMP,0.16666666666666666
Green,QC,MMP,0.0
Liberal,QC,MMP,0.3717948717948718
NDP,QC,MMP,0.2692307692307692
Bloc,NB,MMP,0.0
Conservative,NB,MMP,0.2
Green,NB,MMP,0.0
Liberal,NB,MMP,0.6
NDP,NB,MMP,0.2
Bloc,NS,MMP,0.0
Conservative,NS,MMP,0.18181818181818182
Green,NS,MMP,0.0
Liberal,NS,MMP,0.6363636363636364
NDP,NS,MMP,0.18181818181818182
Bloc,PE,MMP,0.0
Conservative,PE,MMP,0.25
Green,PE,MMP,0.0
Liberal,PE,MMP,0.5
NDP,PE,MMP,0.25
Bloc,NL,MMP,0.0
Conservative,NL,MMP,0.14285714285714285
Green,NL,MMP,0.0
Liberal,NL,MMP,0.7142857142857143
NDP,NL,MMP,0.14285714285714285
Bloc,YT,MMP,0.0
Conservative,YT,MMP,0.5
Green,YT,MMP,0.0
Liberal,YT,MMP,0.5
NDP,YT,MMP,0.0
Bloc,NT,MMP,0.0
Conservative,NT,MMP,0.0
Green,NT,MMP,0.0
Liberal,NT,MMP,0.5
NDP,NT,MMP,0.5
Bloc,NU,MMP,0.0
Conservative,NU,MMP,0.0
Green,NU,MMP,0.0
Liberal,NU,MMP,0.5
NDP,NU,MMP,0.5
Bloc,Canada,MMP,0.04398826979472141
Conservative,Canada,MMP,0.31085043988269795
Green,Canada,MMP,0.011730205278592375
Liberal,Canada,MMP,0.41642228739002934
NDP,Canada,MMP,0.21700879765395895
Bloc,BC,IRV,0.0
Conservative,BC,IRV,0.047619047619047616
Green,BC,IRV,0.023809523809523808
Liberal,BC,IRV,0.6190476190476191
NDP,BC,IRV,0.30952380952380953
Bloc,AB,IRV,0.0
Conservative,AB,IRV,0.7647058823529411
Green,AB,IRV,0.0
Liberal,AB,IRV,0.17647058823529413
NDP,AB,IRV,0.058823529411764705
Bloc,SK,IRV,0.0
Conservative,SK,IRV,0.5714285714285714
Green,SK,IRV,0.0
Liberal,SK,IRV,0.14285714285714285
NDP,SK,IRV,0.2857142857142857
Bloc,MB,IRV,0.0
