party,region,voting_system,value
Bloc,NL,MMP,0
Conservative,NL,MMP,1
Green,NL,MMP,0
Liberal,NL,MMP,5
NDP,NL,MMP,1
Bloc,YT,MMP,0
Conservative,YT,MMP,1
Green,YT,MMP,0
Liberal,YT,MMP,1
NDP,YT,MMP,0
Bloc,NT,MMP,0
Conservative,NT,MMP,0
Green,NT,MMP,0
Liberal,NT,MMP,1
NDP,NT,MMP,1
Bloc,NU,MMP,0
Conservative,NU,MMP,0
Green,NU,MMP,0
Liberal,NU,MMP,1
NDP,NU,MMP,1
Bloc,Canada,MMP,15
Conservative,Canada,MMP,106
Green,Canada,MMP,4
Liberal,Canada,MMP,142
NDP,Canada,MMP,74
Bloc,BC,IRV,0.0
Conservative,BC,IRV,2.0
Green,BC,IRV,1.0
Liberal,BC,IRV,26.0
NDP,BC,IRV,13.0
Bloc,AB,IRV,0.0
Conservative,AB,IRV,26.0
Green,AB,IRV,0.0
Liberal,AB,IRV,6.0
NDP,AB,IRV,2.0
Bloc,SK,IRV,0.0
Conservative,SK,IRV,8.0
Green,SK,IRV,0.0
Liberal,SK,IRV,2.0
NDP,SK,IRV,4.0
Bloc,MB,IRV,0.0
Conservative,MB,IRV,4.0
Green,MB,IRV,0.0
Liberal,MB,IRV,8.0
NDP,MB,IRV,2.0
Bloc,ON,IRV,0.0
Conservative,ON,IRV,16.0
Green,ON,IRV,0.0
Liberal,ON,IRV,96.0
NDP,ON,IRV,9.0
Bloc,QC,IRV,2.0
Conservative,QC,IRV,5.0
Green,QC,IRV,0.0
Liberal,QC,IRV,51.0
NDP,QC,IRV,20.0
Bloc,NB,IRV,0.0
Conservative,NB,IRV,0.0
Green,NB,IRV,0.0
Liberal,NB,IRV,10.0
NDP,NB,IRV,0.0
Bloc,NS,IRV,0.0
Conservative,NS,IRV,0.0
Green,NS,IRV,0.0
Liberal,NS,IRV,11.0
NDP,NS,IRV,0.0
Bloc,PE,IRV,0.0
Conservative,PE,IRV,0.0
Green,PE,IRV,0.0
Liberal,PE,IRV,4.0
NDP,PE,IRV,0.0
Bloc,NL,IRV,0.0
Conservative,NL,IRV,0.0
Green,NL,IRV,0.0
Liberal,NL,IRV,7.0
NDP,NL,IRV,0.0
Bloc,NT,IRV,0.0
Conservative,NT,IRV,0.0
Green,NT,IRV,0.0
Liberal,NT,IRV,1.0
NDP,NT,IRV,0.0
Bloc,NU,IRV,0.0
Conservative,NU,IRV,0.0
Green,NU,IRV,0.0
Liberal,NU,IRV,1.0
NDP,NU,IRV,0.0
Bloc,YT,IRV,0.0
Conservative,YT,IRV,0.0
Green,YT,IRV,0.0
Liberal,YT,IRV,1.0
NDP,YT,IRV,0.0
Bloc,Canada,IRV,2.0
Conservative,Canada,IRV,61.0
Green,Canada,IRV,1.0
Liberal,Canada,IRV,224.0
NDP,Canada,IRV,50.0
Bloc,BC,DMP,0
Conservative,BC,DMP,13
Green,BC,DMP,3
Liberal,BC,DMP,15
NDP,BC,DMP,11
Bloc,AB,DMP,0
Conservative,AB,DMP,22
Green,AB,DMP,0
Liberal,AB,DMP,8
NDP,AB,DMP,4
Bloc,SK,DMP,0
Conservative,SK,DMP,7
Green,SK,DMP,0
Liberal,SK,DMP,3
NDP,SK,DMP,4
Bloc,MB,DMP,0
Conservative,MB,DMP,5
Green,MB,DMP,1
Liberal,MB,DMP,6
NDP,MB,DMP,2
Bloc,ON,DMP,0
Conservative,ON,DMP,43
Green,ON,DMP,0
Liberal,ON,DMP,56
NDP,ON,DMP,21
Bloc,QC,DMP,15
Conservative,QC,DMP,13
Green,QC,DMP,0
Liberal,QC,DMP,29
NDP,QC,DMP,21
Bloc,NB,DMP,0
Conservative,NB,DMP,3
Green,NB,DMP,0
Liberal,NB,DMP,5
NDP,NB,DMP,2
Bloc,NS,DMP,0
Conservative,NS,DMP,2
Green,NS,DMP,0
Liberal,NS,DMP,8
NDP,NS,DMP,2
Bloc,PE,DMP,0
Conservative,PE,DMP,1
Green,PE,DMP,0
Liberal,PE,DMP,2
NDP,PE,DMP,1
Bloc,NL,DMP,0
Conservative,NL,DMP,1
Green,NL,DMP,0
Liberal,NL,DMP,5
NDP,NL,DMP,2
Bloc,YT,DMP,0
Conservative,YT,DMP,1
Green,YT,DMP,0
Liberal,YT,DMP,1
NDP,YT,DMP,0
Bloc,NT,DMP,0
Conservative,NT,DMP,0
Green,NT,DMP,0
Liberal,NT,DMP,1
NDP,NT,DMP,1
Bloc,NU,DMP,0
Conservative,NU,DMP,0
Green,NU,DMP,0
Liberal,NU,DMP,1
NDP,NU,DMP,1
Bloc,Canada,DMP,15
Conservative,Canada,DMP,111
Green,Canada,DMP,4
Liberal,Canada,DMP,140
